x,y,magnitude,phase
-0.08,-0.08,142091229863845.5,-26.225087945130607
-0.076,-0.08,149435768861623.06,6.316333237243773
-0.072,-0.08,154936247910190.2,38.67072569464672
-0.06799999999999999,-0.08,168518774443755.62,65.60200573833436
-0.06399999999999999,-0.08,169201180666572.8,102.86600490837338
-0.059999999999999984,-0.08,179960657731275.22,127.8209950010685
-0.05599999999999998,-0.08,186414371535349.7,157.16711815471297
-0.05199999999999998,-0.08,200038740112671.3,-177.8540595631112
-0.04799999999999997,-0.08,217470985271913.4,-152.99913391325128
-0.04399999999999997,-0.08,212525831112335.97,-125.19699666354092
-0.039999999999999966,-0.08,221877488806038.8,-106.4825986289159
-0.03599999999999996,-0.08,236341834205861.06,-87.29151431095221
-0.03199999999999996,-0.08,248614650098708.25,-67.34602820445322
-0.027999999999999955,-0.08,266830748325890.25,-56.706227381092056
-0.023999999999999952,-0.08,274195560867481.44,-37.05652191508897
-0.01999999999999995,-0.08,299196922005969.3,-23.850432089204602
-0.015999999999999945,-0.08,288624633818835.56,-14.085589877577988
-0.011999999999999941,-0.08,279399408863879.6,-5.2699568577875375
-0.007999999999999938,-0.08,302087481694430.7,-0.09917980680230211
-0.003999999999999934,-0.08,294054104851380.56,3.4696464567007723
6.938893903907228e-17,-0.08,299083074759126.94,4.365072411912458
0.004000000000000073,-0.08,289045615873720.94,2.220871800153341
0.008000000000000076,-0.08,295593003959976.44,-0.6138808495445083
0.01200000000000008,-0.08,287210499990468.75,-6.645333416068269
0.016000000000000084,-0.08,271047200783550.28,-12.642782276774387
0.020000000000000087,-0.08,256983716466172.28,-25.441688427562852
0.02400000000000009,-0.08,259517892274229.47,-37.7151187474224
0.028000000000000094,-0.08,254930752827518.12,-51.12934454773579
0.0320000000000001,-0.08,249277439024965.25,-64.72031650768523
0.0360000000000001,-0.08,249578024281008.97,-87.02793479140283
0.040000000000000105,-0.08,230816045109731.9,-108.82246631376862
0.04400000000000011,-0.08,217705950081747.9,-125.8671586903703
0.04800000000000011,-0.08,233924539087610.28,-150.21947054220152
0.052000000000000116,-0.08,214527862595918.75,-172.27910935656442
0.05600000000000012,-0.08,176245602037016.06,156.7606001401339
0.06000000000000012,-0.08,184934811188729.34,130.6752713531293
0.06400000000000013,-0.08,183298261119696.1,101.1070328774284
0.06800000000000013,-0.08,165856444156097.3,69.94576731758788
0.07200000000000013,-0.08,171914360279209.34,38.24433391474947
0.07600000000000014,-0.08,156598878524463.66,3.898472074611252
-0.08,-0.076,151902980845539.38,5.239870204032929
-0.076,-0.076,173064884373278.56,40.76804716911856
-0.072,-0.076,165268817527638.62,77.74777812909389
-0.06799999999999999,-0.076,176279596640131.06,105.9383196058019
-0.06399999999999999,-0.076,189340786693388.1,134.72497417937944
-0.059999999999999984,-0.076,201893910365222.16,167.83329804880614
-0.05599999999999998,-0.076,217463782555815.03,-163.32217567510546
-0.05199999999999998,-0.076,226635022361861.53,-134.01657459532967
-0.04799999999999997,-0.076,227143877691905.56,-112.70668177560252
-0.04399999999999997,-0.076,248246122658936.44,-90.51941758020682
-0.039999999999999966,-0.076,241202870165691.0,-63.81642944925531
-0.03599999999999996,-0.076,260558797489190.84,-40.752939789779354
-0.03199999999999996,-0.076,278040216893674.88,-22.159560701251323
-0.027999999999999955,-0.076,278766550792575.47,-6.591472220301344
-0.023999999999999952,-0.076,300961201111956.06,6.0130456710752584
-0.01999999999999995,-0.076,300198691517487.4,19.245504443547482
-0.015999999999999945,-0.076,309958173775828.8,30.717193289201354
-0.011999999999999941,-0.076,318339224631238.5,40.09713870357586
-0.007999999999999938,-0.076,327475968577510.2,46.67568105602831
-0.003999999999999934,-0.076,322710072206385.3,48.90876512189482
6.938893903907228e-17,-0.076,317007965394750.94,52.53393070503127
0.004000000000000073,-0.076,318401333369861.06,48.8389593313171
0.008000000000000076,-0.076,313130834894840.2,46.216524965336546
0.01200000000000008,-0.076,307271891508495.8,40.287433287341436
0.016000000000000084,-0.076,302887056119017.5,32.73594655559852
0.020000000000000087,-0.076,296569507508980.56,22.724745475284692
0.02400000000000009,-0.076,302268707813837.94,6.5765191639162826
0.028000000000000094,-0.076,288857602925608.94,-5.531245726986533
0.0320000000000001,-0.076,283492173915855.94,-25.29987304595627
0.0360000000000001,-0.076,254716718894606.38,-43.96275542596383
0.040000000000000105,-0.076,256908065848197.28,-64.96499806433204
0.04400000000000011,-0.076,232287298842171.9,-84.98029515410562
0.04800000000000011,-0.076,222956404067064.97,-111.99590782607491
0.052000000000000116,-0.076,206020891265218.56,-134.92380212013782
0.05600000000000012,-0.076,212596372385918.75,-166.41859130154157
0.06000000000000012,-0.076,207372853076785.12,164.8780313569767
0.06400000000000013,-0.076,189989099972974.7,140.86130882853766
0.06800000000000013,-0.076,181440643648498.97,108.84385475249891
0.07200000000000013,-0.076,166010241372145.78,78.85543150613006
0.07600000000000014,-0.076,150545386169463.3,44.71709866445406
-0.08,-0.072,164457675155715.9,36.34137627354471
-0.076,-0.072,160322083787399.53,71.02518434229673
-0.072,-0.072,189893554724136.22,109.13998890896018
-0.06799999999999999,-0.072,189755454157965.44,139.96333895106295
-0.06399999999999999,-0.072,187125231922836.22,175.75166085733682
-0.059999999999999984,-0.072,228661646412048.72,-157.433743622928
-0.05599999999999998,-0.072,221618889159921.12,-126.77687768270155
-0.05199999999999998,-0.072,236064525460815.06,-99.96490797548242
-0.04799999999999997,-0.072,248260670359236.12,-72.19227590727519
-0.04399999999999997,-0.072,268968095019763.3,-47.509483583319046
-0.039999999999999966,-0.072,274144730323258.34,-22.963804854608
-0.03599999999999996,-0.072,295141189782433.9,-1.6846789551311447
-0.03199999999999996,-0.072,306869483956521.4,20.269956368779624
-0.027999999999999955,-0.072,308524260631251.7,34.757799901679995
-0.023999999999999952,-0.072,310977975216793.8,53.24685190413131
-0.01999999999999995,-0.072,330595778500219.5,67.70045867783932
-0.015999999999999945,-0.072,333948738798196.2,74.83426707235469
-0.011999999999999941,-0.072,347848904911338.1,86.60888251557431
-0.007999999999999938,-0.072,357590730175898.8,91.52473867834533
-0.003999999999999934,-0.072,359875024206503.06,95.57875864239641
6.938893903907228e-17,-0.072,363894950730836.3,98.89019283768822
